Sample in Buffer,Sample in Window,TRIGGER,fircomp_bd_i/system_ila_0/inst/probe0_1[17:0],fircomp_bd_i/system_ila_0/inst/probe1_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED
879,879,0,43,211
880,880,0,43,-110
881,881,0,43,758
882,882,0,43,146
883,883,0,15,-553
884,884,0,15,-521
885,885,0,15,907
886,886,0,15,645
887,887,0,15,-271
888,888,0,15,-280
889,889,0,15,397
890,890,0,15,477
891,891,0,15,-298
892,892,0,15,-266
893,893,0,-19,-23
894,894,0,-19,-307
895,895,0,-19,-82
896,896,0,-19,197
897,897,0,-19,-361
898,898,0,-19,435
899,899,0,-19,140
900,900,0,-19,-280
901,901,0,-19,184
902,902,0,-19,-90
903,903,0,-46,-333
904,904,0,-46,-579
905,905,0,-46,151
906,906,0,-46,-369
907,907,0,-46,-333
908,908,0,-46,-117
909,909,0,-46,399
910,910,0,-46,-263
911,911,0,-46,145
912,912,0,-46,397
913,913,0,-56,-30
914,914,0,-56,696
915,915,0,-56,-49
916,916,0,-56,-279
917,917,0,-56,-17
918,918,0,-56,-1034
919,919,0,-56,-274
920,920,0,-56,-568
921,921,0,-56,476
922,922,0,-56,252
923,923,0,-43,217
924,924,0,-43,-364
925,925,0,-43,-68
926,926,0,-43,668
927,927,0,-43,190
928,928,0,-43,249
929,929,0,-43,238
930,930,0,-43,255
931,931,0,-43,-594
932,932,0,-43,-584
933,933,0,-13,225
934,934,0,-13,-102
935,935,0,-13,688
936,936,0,-13,-331
937,937,0,-13,985
938,938,0,-13,-30
939,939,0,-13,-35
940,940,0,-13,-80
941,941,0,-13,-303
942,942,0,-13,130
943,943,0,23,-322
944,944,0,23,155
945,945,0,23,162
946,946,0,23,-124
947,947,0,23,224
948,948,0,23,-87
949,949,0,23,-124
950,950,0,23,745
951,951,0,23,472
952,952,0,23,253
953,953,0,50,-629
954,954,0,50,-268
955,955,0,50,-84
956,956,0,50,458
957,957,0,50,-263
958,958,0,50,707
959,959,0,50,235
960,960,0,50,-631
961,961,0,50,-9
962,962,0,50,-813
963,963,0,58,223
964,964,0,58,209
965,965,0,58,719
966,966,0,58,208
967,967,0,58,714
968,968,0,58,-605
969,969,0,58,-30
970,970,0,58,153
971,971,0,58,-96
972,972,0,58,422
973,973,0,42,-611
974,974,0,42,476
975,975,0,42,-40
976,976,0,42,-620
977,977,0,42,-286
978,978,0,42,-636
979,979,0,42,505
980,980,0,42,-621
981,981,0,42,221
982,982,0,42,403
983,983,0,10,251
984,984,0,10,132
985,985,0,10,133
986,986,0,10,-65
987,987,0,10,458
988,988,0,10,225
989,989,0,10,-48
990,990,0,10,201
991,991,0,10,-91
992,992,0,10,490
993,993,0,-27,-520
